2025-06-09 20:14:34,<frozen runpy>,pid=6318,model=Gate_CrossEncExpert+LGBMFeatureExpert,phase=fit,seconds=2.07,valid_log_loss=0.2291
2025-06-09 20:14:36,<frozen runpy>,pid=6318,model=Gate_CrossEncExpert+KNNFeatureExpert,phase=fit,seconds=2.04,valid_log_loss=0.7864
2025-06-09 20:14:38,<frozen runpy>,pid=6318,model=Gate_CrossEncExpert+RFFeatureExpert,phase=fit,seconds=2.05,valid_log_loss=0.2686
2025-06-09 20:14:40,<frozen runpy>,pid=6318,model=Gate_CrossEncExpert+SVMFeatureExpert,phase=fit,seconds=2.08,valid_log_loss=0.2295
2025-06-09 20:14:42,<frozen runpy>,pid=6318,model=Gate_LRFeatureExpert+XGBFeatureExpert,phase=fit,seconds=2.07,valid_log_loss=0.6133
2025-06-09 20:14:44,<frozen runpy>,pid=6318,model=Gate_LRFeatureExpert+LGBMFeatureExpert,phase=fit,seconds=2.05,valid_log_loss=0.6125
2025-06-09 20:14:46,<frozen runpy>,pid=6318,model=Gate_LRFeatureExpert+KNNFeatureExpert,phase=fit,seconds=2.05,valid_log_loss=0.789
2025-06-09 20:14:49,<frozen runpy>,pid=6318,model=Gate_LRFeatureExpert+RFFeatureExpert,phase=fit,seconds=2.24,valid_log_loss=0.6318
2025-06-09 20:14:51,<frozen runpy>,pid=6318,model=Gate_LRFeatureExpert+SVMFeatureExpert,phase=fit,seconds=2.05,valid_log_loss=0.6279
2025-06-09 20:14:53,<frozen runpy>,pid=6318,model=Gate_XGBFeatureExpert+LGBMFeatureExpert,phase=fit,seconds=2.08,valid_log_loss=0.6126
2025-06-09 20:14:55,<frozen runpy>,pid=6318,model=Gate_XGBFeatureExpert+KNNFeatureExpert,phase=fit,seconds=2.03,valid_log_loss=0.7823
2025-06-09 20:14:57,<frozen runpy>,pid=6318,model=Gate_XGBFeatureExpert+RFFeatureExpert,phase=fit,seconds=2.05,valid_log_loss=0.6327
2025-06-09 20:14:59,<frozen runpy>,pid=6318,model=Gate_XGBFeatureExpert+SVMFeatureExpert,phase=fit,seconds=2.04,valid_log_loss=0.6133
